Category,Component,Specification,Qty,Unit_Cost_USD,Total_USD,Primary_Supplier,Alternative_Supplier,Part_Number,Product_Link,Notes,Supply_Risk,Lead_Time_Days
,,,,,,,,,,,,,
SCENARIO 3: RENOGY TURNKEY SOLAR + DIGIKEY ELECTRONICS,,,,,,,,,,,,,
"Strategy: Renogy complete solar kits for plug-and-play power, DigiKey for electronics",,,,,,,,,,,,
"Best for: Teams without solar expertise, US-accessible deployments, rapid setup",,,,,,,,,,,,
NOTE: Renogy international shipping limited - may require US forwarding for some regions,,,,,,,,,,,,
,,,,,,,,,,,,,
COMPUTING CORE (DIGIKEY),,,,,,,,,,,,,
Computing,Raspberry Pi 5 4GB,ARM Cortex-A76 2.4GHz quad-core WiFi6 BT5.0,1,70.00,70.00,DigiKey,Mouser,SC1111,https://www.digikey.com/en/products/detail/raspberry-pi/SC1111/21658264,Same-day shipping available,LOW,1-3
Computing,Raspberry Pi 5 8GB,ARM Cortex-A76 8GB LPDDR4X for demanding apps,1,95.00,95.00,DigiKey,Mouser,SC1112,https://www.digikey.com/en/products/detail/raspberry-pi/SC1112/21658265,For multi-camera or AI workloads,LOW,1-3
Computing,Industrial MicroSD 64GB,Kingston SDCE industrial grade -40C to 85C,1,40.00,40.00,DigiKey,Mouser,SDCE/64GB,https://www.digikey.com/en/products/detail/kingston/SDCE-64GB/,30TBW endurance rating,LOW,1-3
Computing,USB-C Power Cable 2m,5A rated industrial quality,1,15.00,15.00,DigiKey,Amazon,Various,https://www.digikey.com/en/products/filter/usb-cables/457,High current delivery cable,LOW,3-5
,,,,,,,,,,,,,
POWER MANAGEMENT HAT,,,,,,,,,,,,,
Power HAT,Witty Pi 4,RTC wake/sleep scheduling ±2ppm Pi 5 compatible,1,30.00,30.00,UUGear,Adafruit,WP4,https://www.uugear.com/product/witty-pi-4/,Software v4.2+ for Pi 5,LOW,3-7
Power HAT,Witty Pi 5 HAT+,HAT+ Mode 1 up to 5A delivery,1,45.00,45.00,UUGear,The Pi Hut,WP5+,https://www.uugear.com/product/witty-pi-5/,Latest generation - Pi 5 optimized,LOW,3-7
Power HAT,DFRobot FIT0992 (Alternative),4x18650 UPS HAT 5.1V 5A output,1,53.00,53.00,DFRobot,Electromaker,FIT0992,https://www.dfrobot.com/product-2840.html,Integrated battery backup option,LOW,5-10
,,,,,,,,,,,,,
RENOGY COMPLETE SOLAR KITS - TURNKEY SOLUTIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
OPTION A: STARTER KIT (Budget Deployments),,,,,,,,,,,,,
Renogy Kit,Starter RV Kit N-Type 200W 12V,200W panels + PWM controller + cables + mounts,1,200.00,200.00,Renogy,Amazon,RNG-STARTER-200W,https://www.renogy.com/200w-12v-starter-rv-kit/,23% off through Dec 15 2025 - battery NOT included,LOW,5-10
Battery Add,Redodo 12V 50Ah LiFePO4,Built-in BMS 4000 cycles 5yr warranty,1,130.00,130.00,Redodo,Amazon,RD1250,https://www.redodopower.com/products/redodo-12v-50ah-lifepo4-battery,Best budget LiFePO4 option,LOW,3-7
,OPTION A SUBTOTAL (Power System),,,,330.00,,,,,,,
,,,,,,,,,,,,,
OPTION B: STANDARD KIT (Recommended),,,,,,,,,,,,,
Renogy Kit,Premium RV Kit 400W 12V Smart,400W panels + MPPT controller + smart monitoring,1,580.00,580.00,Renogy,Amazon,RNG-KIT-PREMIUM-400,https://www.renogy.com/400w-12v-premium-kit-with-100a-dc-dc/,16% off - battery NOT included,LOW,5-10
Battery Add,Redodo 12V 100Ah LiFePO4,Built-in BMS 4000 cycles 5yr warranty,1,225.00,225.00,Redodo,Amazon,RD12100,https://www.redodopower.com/products/redodo-12v-100ah-lifepo4-battery,Best value 100Ah option,LOW,3-7
,OPTION B SUBTOTAL (Power System),,,,805.00,,,,,,,
,,,,,,,,,,,,,
OPTION C: COMPLETE KIT WITH BATTERY,,,,,,,,,,,,,
Renogy Kit,Complete RV Kit 400W + 2.4kWh Battery,400W panels + MPPT + 2x100Ah LiFePO4 + inverter,1,1600.00,1600.00,Renogy,N/A,RNG-KIT-400-COMPLETE,https://www.renogy.com/400w-12-volt-complete-solar-kit-with-two-100ah-lifepo4-batteries/,20% off - all-in-one solution,LOW,7-14
,OPTION C SUBTOTAL (Power System),,,,1600.00,,,,,,,
,,,,,,,,,,,,,
OPTION D: HIGH CAPACITY,,,,,,,,,,,,,
