Category,Item,Description,Qty,Unit Price,Extended,Source,Order Link,Site Compatibility
Common Spares,Raspberry Pi 5 8GB,Shared compute spare,1,$80.00,$80.00,Adafruit,https://www.adafruit.com/product/5813,Both
Common Spares,Witty Pi 5 HAT+,Power management spare,1,$46.00,$46.00,UUGear,https://www.uugear.com/product/witty-pi-5/,Both
Common Spares,Pi-EzConnect HAT,GPIO terminal block,1,$19.95,$19.95,Adafruit,https://www.adafruit.com/product/2711,Both
Common Spares,M.2 SSD 512GB + enclosure,Storage spare (pre-imaged),1,$58.98,$58.98,Amazon,https://www.amazon.com/s?k=M.2+SATA+SSD+512GB+USB+enclosure,Both
Common Spares,MicroSD 32GB,OS boot card (x2 pre-imaged),2,$14.95,$29.90,Adafruit,https://www.adafruit.com/product/6010,Both
Common Spares,Quectel EG25-G + PU201,LTE modem + USB adapter spare,1,$119.00,$119.00,Amazon + DigiKey,https://www.amazon.com/Generic-Quectel-EG25-G-Cellular-M2M-optimized/dp/B0CVQ2YLQQ,Both
Common Spares,LTE Antenna 9dBi,Replacement antennas (2-pack),1,$16.99,$16.99,Amazon,https://www.amazon.com/Antenna-Connector-Omnidirectional-Verizon-Wireless/dp/B07YWHFQ6L,Both
Common Spares,USB-RS485 Adapter,Modbus interface spare,1,$21.95,$21.95,Adafruit,https://www.adafruit.com/product/5995,Both
Common Spares,IP67 LED Set (R/Y/G),Status LED replacement set,1,$8.85,$8.85,DigiKey,https://www.digikey.com/en/products/filter/panel-indicators/99,Both
Common Spares,IP67 Pushbutton,Maintenance button spare,1,$9.99,$9.99,Amazon,https://www.amazon.com/s?k=16mm+IP67+momentary+pushbutton+stainless,Both
Common Spares,Inline fuse holders,With 5A and 10A fuses,5,$2.60,$13.00,Amazon,https://www.amazon.com/s?k=inline+fuse+holder+waterproof+blade,Both
Common Spares,Cable glands (M12),IP68 replacement,3,$1.90,$5.70,Amazon,https://www.amazon.com/s?k=M12+cable+gland+IP68,Both
Common Spares,Cable glands (M16),IP68 replacement,3,$1.90,$5.70,Amazon,https://www.amazon.com/s?k=M16+cable+gland+IP68,Both
Common Spares,Cable glands (M20),IP68 replacement,2,$2.00,$4.00,Amazon,https://www.amazon.com/s?k=M20+cable+gland+IP68,Both
Common Spares,DIN rail terminal blocks,Assorted,6,$0.50,$3.00,Amazon,https://www.amazon.com/s?k=DIN+rail+terminal+block+kit,Both
Common Spares,Rain gauge (DFRobot),Tipping bucket spare,1,$29.90,$29.90,DFRobot,https://www.dfrobot.com/product-2689.html,Both
Common Spares,Amphenol M12 vents,Pressure equalization,2,$12.00,$24.00,DigiKey,https://www.digikey.com/en/products/detail/amphenol-ltw/VENT-PS1YBK-N8001/7898285,Both
Sukabumi-Specific,USB Camera (8MP NoIR),Same as installed (ELP/SVPRO),1,$85.00,$85.00,ELP Direct,mailto:sales@elpcctv.com,Sukabumi
Sukabumi-Specific,VA Imaging MVEC167,Aluminum camera housing,1,$125.00,$125.00,VA Imaging,https://va-imaging.com/products/machine-vision-aluminium-camera-housing-enclosure-waterproof-ip67,Sukabumi
Sukabumi-Specific,Gore/Amphenol vent,For camera housing,2,$12.00,$24.00,DigiKey,https://www.digikey.com/en/products/detail/amphenol-ltw/VENT-PS1YBK-N8001/7898285,Sukabumi
Sukabumi-Specific,USB cable (outdoor 3m),Bulgin PX0840 or equiv,2,$45.00,$90.00,DigiKey,https://www.digikey.com/en/products/filter/usb-cables/457,Sukabumi
Sukabumi-Specific,Tendelux AI4 IR light,850nm with photocell,1,$35.00,$35.00,Amazon,https://www.amazon.com/Tendelux-Illuminator-AI4-Infrared-Security/dp/B075ZYG89D,Sukabumi
Sukabumi-Specific,Numato USB relay,1-channel,1,$32.00,$32.00,Numato Lab,https://numato.com/product/1-channel-usb-powered-relay-module/,Sukabumi
Jakarta-Specific,ANNKE C1200 PoE camera,12MP same as installed,1,$60.00,$60.00,Amazon,https://www.amazon.com/ANNKE-Security-Surveillance-Detection-Spotlight/dp/B0CQKZZ77S,Jakarta
Jakarta-Specific,Cat6 outdoor cable,Shielded 30m spool,1,$26.66,$26.66,Amazon,https://www.amazon.com/s?k=outdoor+Cat6+shielded+cable+100ft+UV,Jakarta
