Category,Item,Description,Qty,Unit Price,Ext. Price,Source,Order Link,Notes
Compute Platform,RPi5-8GB,Raspberry Pi 5 8GB RAM,1,$80.00,$80.00,Adafruit,https://www.adafruit.com/product/5813,Check stock - periodic shortages
Compute Platform,WittyPi5,Witty Pi 5 HAT+ (power mgmt RTC I2C-only),1,$46.00,$46.00,UUGear,https://www.uugear.com/product/witty-pi-5/,Ships from Hong Kong
Compute Platform,EZCONNECT,Adafruit Pi-EzConnect (ID 2711 GPIO terminal block),1,$19.95,$19.95,Adafruit,https://www.adafruit.com/product/2711,Stacks on Witty Pi 5 HAT+
Compute Platform,USB-DRIVE,Samsung FIT Plus 256GB USB 3.1 flash drive (MUF-256AB),1,$25.00,$25.00,Amazon,https://www.amazon.com/Samsung-MUF-256AB-AM-Plus-256GB/dp/B07D7Q41PM,IP67 waterproof - 0-60C operating - plugs directly into Pi USB-A
Compute Platform,MODEM,Quectel EG25-G LTE Cat 4 module,1,$35.00,$35.00,Amazon,https://www.amazon.com/Generic-Quectel-EG25-G-Cellular-M2M-optimized/dp/B0CVQ2YLQQ,Verify Indonesian bands B1/B3/B5/B8/B40
Compute Platform,MODEM-USB,PU201 USB adapter board for EG25-G,1,$15.00,$15.00,DigiKey,https://www.digikey.com/en/products/detail/techship/PU201/21262919,USB interface for modem
Compute Platform,ANT-PUCK,Proxicast ANT-122-S02 2x2 MIMO LTE puck antenna (IP67 screw mount),1,$65.00,$65.00,Amazon,https://www.amazon.com/Proxicast-Profile-Omni-Directional-Screw-Mount-Antenna/dp/B07DDC9WV5,Main + diversity in single sealed unit - 600-6000 MHz - eliminates bulkhead connectors
Compute Platform,SD-CARD,MicroSD card 32GB (SanDisk/Samsung),1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=microSD+32GB+SanDisk,For OS boot
Compute Platform,HEATSINK,Heatsink for Raspberry Pi 5,1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=raspberry+pi+5+heatsink,Active or passive
Compute Platform,USB-RS485,USB to RS485 converter (FTDI chip),1,$18.00,$18.00,Amazon,https://www.amazon.com/s?k=USB+RS485+converter+FTDI,For Modbus devices
PoE Camera System,CAM-001,ANNKE C1200 PoE IP Camera (12MP 134deg FOV 2-pack),1,$119.99,$119.99,Amazon,https://www.amazon.com/ANNKE-Security-Surveillance-Detection-Spotlight/dp/B0DBHRMT1V,1 camera installed 1 spare - built-in IR LEDs
PoE Camera System,CAM-002,Planet IPOE-260-12V PoE Injector (2-port 60W 12V input),1,$164.00,$164.00,Planet Technology,https://planetechusa.com/product/ipoe-260-12v-industrial-2-port-10-100-1000t-802-3at-poe-injector-hub-12v-booster/,Native 12V input - power-cycled with Pi
PoE Camera System,CAM-004,Outdoor Cat6 Shielded Cable (300ft UV-resistant),1,$79.99,$79.99,Amazon,https://www.amazon.com/s?k=outdoor+Cat6+shielded+cable+300ft+UV,Camera cabling
PoE Camera System,CAM-005,IP68 RJ45 Waterproof Coupler (2-pack),1,$12.99,$12.99,Amazon,https://www.amazon.com/s?k=IP68+RJ45+coupler+waterproof,Weatherproof connections
PoE Camera System,CAM-006,Camera Pole Mount Bracket (stainless 2-pack),1,$22.99,$22.99,Amazon,https://www.amazon.com/s?k=camera+pole+mount+bracket+stainless,Camera mounting
User Interface,LED-RED,10mm IP67 panel-mount LED Red,1,$6.00,$6.00,DigiKey,https://www.digikey.com/en/products/filter/panel-indicators/99?s=N4IgTCBcDaIIwFYEFoCMBOAtAOQCIgF0BfIA,Error indication
User Interface,LED-YEL,10mm IP67 panel-mount LED Yellow,1,$6.00,$6.00,DigiKey,https://www.digikey.com/en/products/filter/panel-indicators/99?s=N4IgTCBcDaIIwFYEFoCMBOAtAOQCIgF0BfIA,Working (capture/upload)
User Interface,LED-GRN,10mm IP67 panel-mount LED Green,1,$6.00,$6.00,DigiKey,https://www.digikey.com/en/products/filter/panel-indicators/99?s=N4IgTCBcDaIIwFYEFoCMBOAtAOQCIgF0BfIA,OK/Ready status
User Interface,BTN-MAINT,IP67 momentary pushbutton (C&K AP or E-Switch PVA6),1,$12.00,$12.00,DigiKey,https://www.amazon.com/s?k=16mm+IP67+momentary+pushbutton+stainless,Maintenance mode input
User Interface,GLAND-BTN,PG9 cable gland for button wiring,1,$3.00,$3.00,Amazon,https://www.amazon.com/s?k=PG9+cable+gland+IP68,16mm panel hole
User Interface,RESISTOR,Current-limiting resistors for LEDs (assorted),1,$5.00,$5.00,Amazon,https://www.amazon.com/s?k=LED+resistor+kit+assorted,220-470 ohm range
Humidity Protection,COAT-SIL,MG Chemicals 422C silicone conformal coat (55ml),1,$22.00,$22.00,Amazon,https://www.amazon.com/MG-Chemicals-Silicone-Conformal-Coating/dp/B085G42TGS,For 95%+ RH environments
Humidity Protection,BRUSH,Application brush (acid brush or fine bristle),2,$2.00,$4.00,Amazon,https://www.amazon.com/s?k=acid+brush+pack,Clean lint-free
Humidity Protection,MASK-TAPE,Masking tape (low-tack 1in width),1,$4.00,$4.00,Amazon,https://www.amazon.com/s?k=low+tack+masking+tape+1+inch,Protect connectors during coating
Humidity Protection,IPA-WIPES,Isopropyl alcohol wipes (99%),1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=isopropyl+alcohol+wipes+99,Pre-coating cleaning
Enclosure & Mounting,ENC-001,VEVOR carbon steel hinged IP66 enclosure (16x12x8in / 406x305x203mm),1,$60.00,$60.00,Amazon,https://www.amazon.com/dp/B0924DJGJ9,Hinged door with lock - includes mounting plate
Enclosure & Mounting,VENT-ENC,Gore M12 protective vent,1,$12.00,$12.00,DigiKey,https://www.digikey.com/en/products/detail/amphenol-ltw/VENT-PS1YBK-N8001/7898285,Pressure equalization without humidity ingress
