Tom's Notes,Received?,Category,Item,Description,Qty,Unit Price,Ext. Price,Source,Strategy,Order Link,Notes
ok to order,X,Compute Platform,RPi5-8GB,Raspberry Pi 5 8GB RAM,1,$109.00,$109.00,Amazon,Coupa #484665,https://www.amazon.com/Raspberry-Pi-8GB-SC1112-Quad-core/dp/B0CK2FCG1K/ref=sr_1_1?crid=30PGLALYZJIJ5&dib=eyJ2IjoiMSJ9.1oajx5myx0DpkRs5felIvly86oNgPJf5_fIlfdq-9mp8lGIK7ncwQQrh2D--bR0fvGW1s8kNchrdGstDfz-bmH6v_VzWBXvpZ95vB-QJtrK7M_If35bGpfmPzVjLfXyCNQv_OcgLvtWRyRgDGiVC7K8aAeHdha0NO1DX-PkaNHO1RBU55ADm-3_MMvDUhgpgCGtSvKGunG-CPLs6XvP5okt8iMz07w0UWVQktvVw3gDHv0ELPgKX8SrIgD7DX2iVw-z-y6eDHQNMA0moUzaV_csY6T8T1ZfApX87xGRywKw._7AHTZO6cR55zjhjKI6XzaGzwWsuiN5zPZdh3_T_Heg&dib_tag=se&keywords=raspberry+pi+5+8gm&qid=1768932285&s=electronics&sprefix=raspberry+pi+5+8gm%2Celectronics%2C181&sr=1-1,Check stock - periodic shortages
ok to order,X,Compute Platform,WittyPi5,Witty Pi 5 HAT+ (power mgmt RTC I2C-only),1,$59.95,$59.95,Adafruit,Order #3625618,https://www.adafruit.com/product/6449,Ships from Hong Kong
ok to order,X,Compute Platform,Headers,Stacking Headers,1,$9.90,$9.90,Amazon,Coupa #484665,https://www.amazon.com/Geekworm-Stacking-Raspberry-Specifications-Extender/dp/B0827THC7R/ref=sr_1_3?crid=1B85XPYFB7GT9&dib=eyJ2IjoiMSJ9.Vp6NRsO0bpyFGczNdCi28yMnC5DKGmVziTkwTX1g2TKRs0nqxudiZXPXMBt_oh1gTVVk9_PxfHAIRMWmAhdbYesWjyLpRawUXiuFS2p55sOtUpiNP73vOh2wrLKywApAWPx2M-djEPMclp3lox4Yu83MiO10e99hWUfIySrIXJ2-3jFwstk7VadXlzz2Itg7GYrY5sZ6kITQ-KM5hMW3-V5yHTj5U1MbJwewAyMZYO0.Fn0aIDMcIIXg7FSIZIpJr8BuhrcqOsKS14QZJuh0cHo&dib_tag=se&keywords=long+stacking+headers+pi+5&qid=1768932420&sprefix=long+stacking+headers+pi+5%2Caps%2C182&sr=8-3,
ok to order,X,Compute Platform,GPIO-Breakout,GPIO breakout board,1,$9.90,$9.90,Amazon,Coupa #484666,https://www.amazon.com/Geekworm-G469-Terminal-Breakout-Raspberry/dp/B0DMNJ17PD/ref=sr_1_1?crid=2ISGB2H99A3MT&dib=eyJ2IjoiMSJ9.vkoB_NshQ9yskuQvojRNU1Ai0O5DjCpODkaUPK7WjaJzZnG7U08MF1uxBCqtIEK7zIog-t6eW3O-yvqQ077g4aRad7VHwzds0bTivTgFwqpjBuaX-nPGmmOq-wRUVaTlxQ5sZA4eT52NsM5Fai5WTP2v_kc67MKYTRZonmyjDMIChmOThSFy2eXwT488Hxf70dORDVZldH6DzKKc8qnFo2d9sU0T1rWxeWJP8LTD7No3M3HUh-CjwdF3Ki1YsmkvXpZV3kI9vXyBt5_Gd70FJT0D3j2z9lPjTK30A38welI.Gg5GiJX67bHaqb4A3vSjbw7ph7v3vCfo-tPUPzsk85w&dib_tag=se&keywords=gpip+breakout+board+pi+5&qid=1768932548&s=electronics&sprefix=gpip+breakout+board+pi+5%2Celectronics%2C140&sr=1-1,
ok to order,X,Compute Platform,USB-FLASH,Sandisk 256G flash drive,1,$30.99,$30.99,Amazon,Coupa #484667,https://www.amazon.com/SanDisk-256GB-Ultra-Flash-Drive/dp/B0BY2TT9TD/ref=sr_1_8?crid=2O8UIHHNN8SGV&dib=eyJ2IjoiMSJ9.N096ikwVifx4p13cKJjqstLjseV37QdP-yNFSkFjAsfyFCUJ9Dp5myYUjCLyPOAB3S0iwehiH6b3C19YGmLgU19pd36LTd8lD75Nz2qHZrwhRZ5mdsak1s1OXReQ2qFmO4iRmJ3u7KwkmWxemmPTV0hTyUa3Zbnc0ahMHSp3PEtMwe1JaWrrjJbjBQimLFTe6HOPTMd13zZjxAYZcCEzVhRyPu-oR3dtrLkdD1jPXGwrq20zzpsfvlUuAr47foq2HR9O0kAOFyDmuMadJO_M3ikvZuinDzpUfMWElj1rToM.yNzzLq2UKARtTFa5ixRikwGpaiYtdTHitSEFoh0SllI&dib_tag=se&keywords=256G%2Bflash%2Bdrive&qid=1769790002&s=electronics&sprefix=256g%2Bflash%2Bdrive%2Celectronics%2C158&sr=1-8&th=1,Budget option (~$40-85 range)
ok to order,X,Compute Platform,MODEM,Quectel EG25-G LTE Mini PCIe module,1,$75.00,$75.00,Amazon,Coupa #484668,https://www.amazon.com/Generic-Quectel-EG25-G-Cellular-M2M-optimized/dp/B0CVQ2YLQQ,Verify Indonesian bands B1/B3/B5/B8/B40 - good
ok to order,X,Compute Platform,MODEM-USB,WWAN to USB Adapter / Case,1,$28.99,$28.99,Amazon,Coupa #484669,https://www.amazon.com/dp/B07GLN86K7?ref=ppx_yo2ov_dt_b_fed_asin_title,USB interface for modem
ok to order,X,Compute Platform,ANT-PUCK,Proxicast ANT-122-S02 2x2 MIMO LTE puck antenna (IP67 screw mount),1,$64.95,$64.95,Amazon,Coupa #484670,https://www.amazon.com/Proxicast-Profile-Omni-Directional-Screw-Mount-Antenna/dp/B07DDC9WV5,Main + diversity
ok to order,X,Compute Platform,SD-CARD,MicroSD card (64G x2),1,$26.92,$26.92,Amazon,Coupa #484671,https://www.amazon.com/SanDisk-128GB-MicroSDXC-Ultra-Memory/dp/B07XDCZ9J3/ref=sr_1_4?crid=1FKHRFP59ZZV4&dib=eyJ2IjoiMSJ9.e5LELMYKDQZvH1-yFg6PbLXNTfHRGch-mpiXrDzxXiMZfoHbmlSJm2BJ3yj5KhcwJ6QpPDXM1w8gyygdHxdq--F1t8rRax2QDo6K312V9pTQCv-quNbYFZDVazuDPEX-GKWZbcpF5Vg1w6CTiimMRsTGy7sP04Ix_w0Jok3mtzbZnQO3A4bG7BxtgAqwNwZBIn4YadQN1h1U88Nhn5Ja7Ypj10qqKIT_8kPkO2fEB-w.XuHGlcsLbfMi_WodZXe8LuXRF-XNolYzRT6VFEWgbyE&dib_tag=se&keywords=64g+sd+card+micro&qid=1768933087&sprefix=64G+%2Caps%2C227&sr=8-4,For OS boot - Class A2
ok to order,X,Compute Platform,HEATSINK,Raspberry Pi 5 Active Cooler,1,$9.90,$9.90,Amazon,Coupa #484671,https://www.amazon.com/Raspberry-Pi5-Temperature-Controlled-Aluminium-Dissipation/dp/B0CW164TCW/ref=sr_1_4?crid=3BVHG6F9R8EU6&dib=eyJ2IjoiMSJ9.yHS4Lh5exXXM-K-34AoyEWHEV4_A_WfEHeBbQBruB0a8MmCqSM5FTC_1LQHQxFJm2xKRc_yAx_odn3v9meD4RxSR-EM7Cq4G_n5p_cDyRGFkQU8A8yWgTzZatbneIEdEG-YSbTrOgLAwJtFRsWgpPJqpKXGUJyYSC2-WfodaY1jmLwD-xAc1SZaV3OWI-srPiYTC0w5Q3Do_v9EJyk2QQ9wrdAYy_baeWc144J3TZH8.3leF29-EYQnhSkfcbudZjcNyY4fmylasDQsxGiGA4W0&dib_tag=se&keywords=pi+5+active+cooler&qid=1768933183&sprefix=pi+5+active+cool%2Caps%2C241&sr=8-4,Temperature-controlled fan
Likely will not need,,Compute Platform,USB-RS485,USB to RS485/232 Multi-Protocol Adapter,1,$21.95,$21.95,Adafruit,Order now,https://www.adafruit.com/product/5995,"We have a GPIO riser, so we can use that for RS232 / ModBus if needed"
ok to order,X,Camera System,PoE-CAM,ANNKE C1200 PoE Camera,1,$89.99,$89.99,Amazon,Coupa #484671,https://www.amazon.com/ANNKE-Outdoor-Security-Surveillance-Detection/dp/B0CMTHVCV8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.boUCZvZlg1KWTJanSNF5b5i9ykng84UVYJAZCM7B8aLmvbg1kicqk62WoIcTfvECxicGhlZJyoac4JXs9WB7PCU-DVyOgHgK03xxKTB98lQUKlRqJqpzc6iOOln3utCXZJBEHuzUGTGKuZ_K5SWUA3vk41BEp_mwCOAo4V0PkBC1W4Qw2Ro4QDpDCkJ1LmpU9voZ4jftCIvX05m59XdcAmOkwfilYncRF2bQOodV3Js.ln_mA7AreF-FXd9wB5cpBrwaRKKwfkMGrpKJ2hgDPik&dib_tag=se&keywords=ANNKE%2BC1200&qid=1768939866&sr=8-1&th=1,
ok to order,X,Camera System,PoE-MOUNT,Vertical mounting plate,1,$30.99,$30.99,Amazon,Coupa #484672,https://www.amazon.com/DS-1275ZJ-Vertical-Adapter-Hikvision-Stainless/dp/B0DRDZBR69/ref=sr_1_4?crid=1RBK01R6M6ZQX&dib=eyJ2IjoiMSJ9.-YCCoP6V-P67uxsLV0-v0P5y25C77UmEdvSgtWKmsaNcdvNVqF50l9digW-nsGFalASUwXfBZomC0zVkykECyZOQXMSmce6fWyx9haln0Qeqi-BnNxRh73G2KNE3R8AyGpjmmr26NuHQSd1Bc0UcgnGMN1qkMV2dmUFEY0v9R-Lgqe1wY6tptalkDpmZshxnx8WuBWPLLmGpMzfYLc9VAXzP4y_a7eRJErdqyZEo2cQ.tJSvgTTNgw24MGvvIsuWOwDsf7JjYW8oVeXEbky1FDU&dib_tag=se&keywords=Hikvision+DS-1275ZJ-SUS&qid=1768940337&sprefix=hikvision+ds-1275zj-sus%2Caps%2C404&sr=8-4,
