set,video_id,timestamp_utc,local_hour_wib,status,s2n,s2n_passed,h_detected_m,n_h_candidates
DONE,3437,2026-07-11T12:01:23,19,4,4.761,1,614.794,1
DONE,3438,2026-07-11T12:31:28,19,4,5.191,1,614.794,2
DONE,3439,2026-07-11T13:01:25,20,4,4.963,1,614.794,2
DONE,3440,2026-07-11T13:31:31,20,4,4.901,1,614.794,2
DONE,3441,2026-07-11T14:01:24,21,4,4.792,1,614.794,1
DONE,3442,2026-07-11T14:31:31,21,4,4.782,1,614.794,2
DONE,3443,2026-07-11T15:01:23,22,4,3.787,1,614.794,1
DONE,3444,2026-07-11T15:31:31,22,4,4.165,1,614.794,1
DONE,3445,2026-07-11T16:01:25,23,4,4.825,1,614.794,2
DONE,3446,2026-07-11T16:31:25,23,4,4.962,1,614.794,2
DONE,3447,2026-07-11T17:01:33,0,4,2.244,1,614.795,2
DONE,3448,2026-07-11T17:31:23,0,4,4.688,1,614.794,1
DONE,3449,2026-07-11T18:01:26,1,4,2.164,1,614.794,1
DONE,3450,2026-07-11T18:31:25,1,4,2.344,1,614.794,1
DONE,3451,2026-07-11T19:01:26,2,4,4.997,1,614.794,2
DONE,3452,2026-07-11T19:31:25,2,4,4.593,1,614.794,1
DONE,3453,2026-07-11T20:01:31,3,4,2.87,1,614.794,1
DONE,3454,2026-07-11T20:31:27,3,4,2.56,1,614.794,1
DONE,3455,2026-07-11T21:01:28,4,4,5.055,1,614.794,1
DONE,3456,2026-07-11T21:31:31,4,4,4.768,1,614.794,1
DONE,3457,2026-07-11T22:01:33,5,4,5.024,1,614.794,2
DONE,3458,2026-07-11T22:31:24,5,4,5.561,1,614.794,1
DONE,3460,2026-07-11T23:31:25,6,4,2.034,1,614.671,2
DONE,3461,2026-07-12T00:01:29,7,4,2.405,1,614.671,2
DONE,3470,2026-07-12T04:31:32,11,4,2.06,1,614.88,1
DONE,3475,2026-07-12T07:01:28,14,4,2.11,1,615.733,1
DONE,3483,2026-07-12T11:01:27,18,4,2.004,1,614.651,2
DONE,3484,2026-07-12T11:31:31,18,4,5.407,1,614.795,1
DONE,3485,2026-07-12T12:01:24,19,4,4.64,1,614.794,1
DONE,3486,2026-07-12T12:31:31,19,4,4.911,1,614.794,2
DONE,3487,2026-07-12T13:01:22,20,4,4.573,1,614.795,1
DONE,3488,2026-07-12T13:31:25,20,4,3.732,1,614.794,1
DONE,3489,2026-07-12T14:01:33,21,4,4.927,1,614.794,2
DONE,3490,2026-07-12T14:31:27,21,4,4.797,1,614.794,2
DONE,3491,2026-07-12T15:01:30,22,4,3.973,1,614.794,1
DONE,3492,2026-07-12T15:31:30,22,4,4.235,1,614.794,1
DONE,3493,2026-07-12T16:01:27,23,4,3.602,1,614.794,1
DONE,3494,2026-07-12T16:31:33,23,4,2.052,1,614.794,1
DONE,3495,2026-07-12T17:01:24,0,4,4.42,1,614.794,1
DONE,3496,2026-07-12T17:31:33,0,4,4.564,1,614.795,1
DONE,3497,2026-07-12T18:01:24,1,4,4.424,1,614.794,1
DONE,3498,2026-07-12T18:31:28,1,4,4.222,1,614.794,1
DONE,3499,2026-07-12T19:01:27,2,4,3.004,1,614.794,1
DONE,3500,2026-07-12T19:31:24,2,4,5.073,1,614.794,1
DONE,3501,2026-07-12T20:01:33,3,4,2.821,1,614.794,1
DONE,3502,2026-07-12T20:31:27,3,4,2.857,1,614.794,1
DONE,3503,2026-07-12T21:01:31,4,4,4.533,1,614.794,1
DONE,3504,2026-07-12T21:31:22,4,4,4.814,1,614.794,1
DONE,3505,2026-07-12T22:01:33,5,4,2.57,1,614.794,1
DONE,3506,2026-07-12T22:31:30,5,4,4.575,1,614.794,2
DONE,3510,2026-07-13T00:31:27,7,4,2.098,1,614.712,2
DONE,3516,2026-07-13T03:31:24,10,4,2.064,1,614.753,2
DONE,3517,2026-07-13T04:01:29,11,4,2.515,1,614.732,2
DONE,3519,2026-07-13T05:01:33,12,4,2.7,1,614.426,2
DONE,3522,2026-07-13T06:31:23,13,4,2.172,1,614.794,2
DONE,3523,2026-07-13T07:01:30,14,4,3.332,1,615.909,2
